index	num_heavy_atoms	num_bonds	depiction	look	time	size
21	31	34	BALL_AND_STICK	GLOSSY	418.38908195495605	93.956
21	31	34	WIREFRAME	GLOSSY	0.6477832794189453	9.459
21	31	34	TUBE	CARTOON	738.2080554962158	36.039
22	35	39	SPACEFILLING	CARTOON	371.4890480041504	32.744
21	31	34	TUBE	GLOSSY	753.0651092529297	48.09
22	35	39	WIREFRAME	CARTOON	0.7810592651367188	11.593
22	35	39	BALL_AND_STICK	CARTOON	508.2879066467285	87.648
22	35	39	SPACEFILLING	GLOSSY	366.23382568359375	41.333
22	35	39	BALL_AND_STICK	GLOSSY	501.62577629089355	112.027
22	35	39	WIREFRAME	GLOSSY	0.7848739624023438	11.593
22	35	39	TUBE	CARTOON	929.6879768371582	43.598
23	30	35	SPACEFILLING	CARTOON	444.9338912963867	27.611
23	30	35	BALL_AND_STICK	CARTOON	574.4419097900391	70.553
23	30	35	WIREFRAME	CARTOON	0.6878376007080078	9.797
22	35	39	TUBE	GLOSSY	1087.7890586853027	58.468
23	30	35	SPACEFILLING	GLOSSY	543.2319641113281	34.94
23	30	35	TUBE	CARTOON	1041.8517589569092	35.677
23	30	35	WIREFRAME	GLOSSY	0.6961822509765625	9.797
23	30	35	BALL_AND_STICK	GLOSSY	652.3582935333252	90.86
24	36	39	SPACEFILLING	CARTOON	443.8042640686035	36.246
24	36	39	BALL_AND_STICK	CARTOON	535.8500480651855	82.717
24	36	39	WIREFRAME	CARTOON	0.6930828094482422	9.754
23	30	35	TUBE	GLOSSY	872.8559017181396	47.624
24	36	39	SPACEFILLING	GLOSSY	383.7549686431885	45.153
24	36	39	BALL_AND_STICK	GLOSSY	485.7649803161621	104.431
24	36	39	WIREFRAME	GLOSSY	0.6909370422363281	9.754
24	36	39	TUBE	CARTOON	778.9549827575684	37.159
25	40	44	SPACEFILLING	CARTOON	412.2161865234375	38.389
24	36	39	TUBE	GLOSSY	754.6970844268799	49.99
25	40	44	WIREFRAME	CARTOON	0.8459091186523438	12.564
25	40	44	BALL_AND_STICK	CARTOON	550.0197410583496	96.619
25	40	44	SPACEFILLING	GLOSSY	408.82301330566406	48.208
25	40	44	BALL_AND_STICK	GLOSSY	549.4401454925537	123.898
25	40	44	WIREFRAME	GLOSSY	0.8420944213867188	12.564
26	23	24	SPACEFILLING	CARTOON	232.32102394104004	22.935
25	40	44	TUBE	CARTOON	971.8642234802246	46.364
26	23	24	BALL_AND_STICK	CARTOON	287.1987819671631	49.502
26	23	24	WIREFRAME	CARTOON	0.396728515625	5.579
26	23	24	TUBE	CARTOON	427.6151657104492	20.879
26	23	24	SPACEFILLING	GLOSSY	232.86128044128418	28.572
25	40	44	TUBE	GLOSSY	967.8781032562256	62.32
26	23	24	WIREFRAME	GLOSSY	0.4010200500488281	5.579
26	23	24	BALL_AND_STICK	GLOSSY	286.23199462890625	62.74
26	23	24	TUBE	GLOSSY	425.3659248352051	27.814
27	39	43	SPACEFILLING	CARTOON	409.4090461730957	36.845
27	39	43	WIREFRAME	CARTOON	0.7371902465820312	10.576
27	39	43	BALL_AND_STICK	CARTOON	510.9398365020752	85.051
27	39	43	SPACEFILLING	GLOSSY	407.13024139404297	46.382
27	39	43	BALL_AND_STICK	GLOSSY	503.5848617553711	109.166
27	39	43	WIREFRAME	GLOSSY	0.7402896881103516	10.576
27	39	43	TUBE	CARTOON	827.1348476409912	39.761
28	32	36	SPACEFILLING	CARTOON	327.76618003845215	27.213
28	32	36	BALL_AND_STICK	CARTOON	423.0189323425293	69.073
28	32	36	WIREFRAME	CARTOON	0.6508827209472656	9.125
27	39	43	TUBE	GLOSSY	831.8028450012207	53.289
28	32	36	SPACEFILLING	GLOSSY	329.49304580688477	34.968
28	32	36	BALL_AND_STICK	GLOSSY	419.91496086120605	89.39
